Image,X,Y,Width,Height
9450.jpg,87,62,92,119
9451.jpg,75,68,99,129
9452.jpg,67,67,93,119
9453.jpg,61,63,102,128
9454.jpg,80,67,91,118
9455.jpg,68,72,91,118
9456.jpg,78,66,104,130
9457.jpg,75,76,85,102
9458.jpg,75,69,90,114
9459.jpg,72,60,93,120
9460.jpg,90,70,95,116
9461.jpg,82,60,94,123
9462.jpg,87,70,90,115
9463.jpg,86,66,93,120
9464.jpg,76,61,96,121
9465.jpg,85,67,92,123
9466.jpg,76,61,95,128
9467.jpg,84,64,96,119
9468.jpg,75,66,100,132
9469.jpg,85,59,98,127
9470.jpg,65,67,101,130
9471.jpg,76,60,100,134
9472.jpg,68,64,99,129
9473.jpg,73,60,96,128
9474.jpg,75,60,100,133
9475.jpg,74,62,96,126
9476.jpg,68,67,88,115
9477.jpg,70,67,94,118
9478.jpg,66,65,95,125
9479.jpg,87,71,96,117
9480.jpg,83,68,90,111
9481.jpg,78,73,88,111
9482.jpg,67,70,101,121
9483.jpg,68,69,96,122
9484.jpg,79,66,90,119
9485.jpg,89,74,81,100
9486.jpg,87,66,90,120
9487.jpg,80,69,90,118
9488.jpg,89,69,87,117
9489.jpg,59,65,91,121
9490.jpg,68,37,132,168
9491.jpg,84,71,92,121
9492.jpg,67,60,91,121
9493.jpg,73,65,90,114
9494.jpg,70,64,93,118
9495.jpg,81,69,87,113
9496.jpg,78,71,91,114
9497.jpg,76,70,86,110
9498.jpg,73,64,90,123
9499.jpg,90,75,82,109
9500.jpg,72,58,100,137
9501.jpg,86,71,82,113
9502.jpg,78,67,88,121
9503.jpg,81,68,88,118
9504.jpg,70,58,93,123
9505.jpg,86,60,95,125
9506.jpg,80,67,89,119
9507.jpg,70,69,88,115
9508.jpg,66,70,92,111
9509.jpg,87,74,88,114
9510.jpg,84,72,89,114
9511.jpg,79,67,87,115
9512.jpg,79,71,89,113
9513.jpg,70,63,97,119
9514.jpg,77,64,101,124
9515.jpg,60,70,96,119
9516.jpg,76,62,104,120
9517.jpg,69,71,89,116
9518.jpg,86,70,81,110
9519.jpg,80,77,86,102
9520.jpg,80,78,81,101
9521.jpg,85,77,82,104
9522.jpg,78,74,90,111
9523.jpg,92,75,85,113
9524.jpg,78,67,91,116
9525.jpg,82,64,93,122
9526.jpg,85,66,93,121
9527.jpg,71,76,86,103
9528.jpg,82,62,99,120
9529.jpg,72,72,100,127
9530.jpg,76,70,90,114
9531.jpg,64,73,92,109
9532.jpg,78,71,95,121
9533.jpg,85,73,93,113
9534.jpg,65,67,99,124
9535.jpg,83,57,93,123
9536.jpg,90,68,105,124
9537.jpg,67,61,97,125
9538.jpg,82,66,94,124
9539.jpg,93,72,81,107
9540.jpg,73,65,97,120
9541.jpg,64,56,99,129
9542.jpg,80,67,90,117
9543.jpg,91,71,87,112
9544.jpg,72,64,119,151
9545.jpg,87,67,94,117
9546.jpg,80,67,88,113
9547.jpg,84,59,96,124
9548.jpg,72,67,84,118
9549.jpg,70,62,107,140
9550.jpg,85,50,131,182
9551.jpg,79,73,90,108
9552.jpg,76,65,87,116
9553.jpg,74,72,89,115
9554.jpg,76,67,90,111
9555.jpg,67,72,88,107
9556.jpg,62,65,98,132
9557.jpg,80,72,84,102
9558.jpg,66,63,105,141
9559.jpg,73,64,89,116
9560.jpg,87,71,91,117
9561.jpg,84,64,93,127
9562.jpg,77,65,91,112
9563.jpg,54,56,125,154
9564.jpg,77,70,91,116
9565.jpg,70,70,89,115
9566.jpg,77,73,85,112
9567.jpg,74,67,95,121
9568.jpg,80,68,87,113
9569.jpg,70,72,80,107
9570.jpg,77,68,99,134
9571.jpg,78,66,94,120
9572.jpg,83,68,95,112
9573.jpg,70,71,92,117
9574.jpg,66,68,89,110
9575.jpg,75,72,90,113
9576.jpg,78,76,84,107
9577.jpg,77,67,87,116
9578.jpg,82,67,88,115
9579.jpg,73,72,86,111
9580.jpg,90,67,91,122
9581.jpg,89,52,125,176
9582.jpg,78,64,93,121
9583.jpg,91,74,82,107
9584.jpg,98,67,87,125
9585.jpg,82,73,86,108
9586.jpg,82,69,87,114
9587.jpg,88,74,82,106
9588.jpg,74,71,90,122
9589.jpg,78,67,90,118
9590.jpg,80,68,92,116
9591.jpg,84,72,88,114
9592.jpg,86,66,104,135
9593.jpg,72,62,113,142
9594.jpg,75,62,96,125
9595.jpg,78,71,93,116
9596.jpg,71,65,96,120
9597.jpg,85,63,96,127
9598.jpg,82,68,92,125
9599.jpg,87,79,83,108
9600.jpg,76,63,100,122
9601.jpg,83,69,92,123
9602.jpg,89,76,84,109
9603.jpg,68,68,93,115
9604.jpg,78,64,99,123
9605.jpg,83,73,86,112
9606.jpg,73,71,83,108
9607.jpg,61,66,92,118
9608.jpg,77,65,93,118
9609.jpg,81,70,94,118
9610.jpg,84,64,92,122
9611.jpg,78,65,95,119
9612.jpg,63,59,99,132
9613.jpg,79,74,78,101
9614.jpg,72,67,91,117
9615.jpg,66,63,126,148
9616.jpg,75,72,99,115
9617.jpg,75,59,105,131
9618.jpg,75,71,101,126
9619.jpg,70,72,97,115
9620.jpg,70,73,94,111
9621.jpg,54,68,100,127
9622.jpg,86,63,91,124
9623.jpg,83,65,94,122
9624.jpg,65,66,92,123
9625.jpg,74,67,97,121
9626.jpg,77,68,96,127
9627.jpg,73,71,92,117
9628.jpg,75,78,90,106
9629.jpg,61,68,114,138
9630.jpg,75,71,92,122
9631.jpg,75,79,90,109
9632.jpg,75,65,98,121
9633.jpg,72,75,92,116
9634.jpg,67,70,87,116
9635.jpg,76,67,98,119
9636.jpg,87,71,94,117
9637.jpg,96,73,86,109
9638.jpg,88,75,87,112
9639.jpg,87,69,89,117
9640.jpg,81,69,99,118
9641.jpg,66,62,100,130
9642.jpg,62,69,93,123
9643.jpg,73,66,94,122
9644.jpg,91,70,90,115
9645.jpg,71,63,96,122
9646.jpg,72,70,82,116
9647.jpg,80,64,99,129
9648.jpg,70,66,98,119
9649.jpg,64,70,90,114
9650.jpg,79,69,94,116
9651.jpg,80,73,84,107
9652.jpg,91,63,92,124
9653.jpg,82,73,90,119
9654.jpg,77,66,94,119
9655.jpg,50,62,122,142
9656.jpg,83,65,97,126
9657.jpg,81,68,91,119
9658.jpg,67,70,96,115
9659.jpg,81,69,96,121
9660.jpg,77,66,88,120
9661.jpg,87,68,95,125
9662.jpg,77,64,91,122
9663.jpg,73,74,88,119
9664.jpg,77,72,95,129
9665.jpg,74,66,92,118
9666.jpg,67,71,87,116
9667.jpg,63,59,94,120
9668.jpg,77,62,91,118
9669.jpg,75,71,88,119
9670.jpg,92,75,89,112
9671.jpg,100,74,71,94
9672.jpg,61,62,100,128
9673.jpg,76,70,93,122
9674.jpg,70,67,90,120
9675.jpg,70,76,75,104
9676.jpg,71,73,82,109
9677.jpg,70,73,89,117
9678.jpg,80,64,101,125
9679.jpg,78,63,95,124
9680.jpg,80,68,91,122
9681.jpg,86,69,89,120
9682.jpg,77,63,93,125
9683.jpg,89,75,76,94
9684.jpg,72,68,90,116
9685.jpg,75,67,87,115
9686.jpg,66,68,98,124
9687.jpg,78,65,88,120
9688.jpg,81,59,100,127
9689.jpg,76,74,84,106
9690.jpg,79,74,85,107
9691.jpg,82,74,89,110
9692.jpg,75,75,89,105
9693.jpg,48,59,114,150
9694.jpg,81,66,90,121
9695.jpg,90,66,91,119
9696.jpg,85,73,83,111
9697.jpg,74,65,91,114
9698.jpg,71,67,98,121
9699.jpg,67,67,96,122
9700.jpg,65,70,96,118
9701.jpg,74,69,96,123
9702.jpg,71,62,94,123
9703.jpg,67,65,103,126
9704.jpg,85,69,97,115
9705.jpg,61,73,101,117
9706.jpg,79,69,83,110
9707.jpg,79,64,92,121
9708.jpg,80,65,90,117
9709.jpg,72,68,91,119
9710.jpg,88,70,87,115
9711.jpg,90,65,87,130
9712.jpg,91,73,86,109
9713.jpg,55,63,112,131
9714.jpg,78,71,100,117
9715.jpg,76,61,94,120
9716.jpg,80,71,91,114
9717.jpg,83,57,104,128
9718.jpg,70,66,98,120
9719.jpg,73,63,96,119
9720.jpg,69,61,94,122
9721.jpg,71,75,88,108
9722.jpg,72,62,98,122
9723.jpg,81,52,119,154
9724.jpg,79,67,90,116
9725.jpg,78,72,96,112
9726.jpg,69,74,100,124
9727.jpg,86,65,94,126
9728.jpg,81,70,87,114
9729.jpg,84,66,94,121
9730.jpg,76,68,97,125
9731.jpg,83,68,95,121
9732.jpg,82,63,93,118
9733.jpg,82,75,87,111
9734.jpg,85,68,91,118
9735.jpg,75,70,87,113
9736.jpg,82,67,84,113
9737.jpg,73,74,87,108
9738.jpg,68,71,84,108
9739.jpg,82,67,87,116
9740.jpg,72,72,83,109
9741.jpg,78,67,91,119
9742.jpg,62,63,95,127
9743.jpg,68,69,87,113
9744.jpg,72,65,91,118
9745.jpg,71,79,89,118
9746.jpg,62,71,100,121
9747.jpg,87,66,103,136
9748.jpg,69,72,98,114
9749.jpg,65,65,95,120
9750.jpg,85,71,91,120
9751.jpg,69,80,79,100
9752.jpg,74,72,89,114
9753.jpg,83,72,87,107
9754.jpg,67,67,94,121
9755.jpg,62,59,99,133
9756.jpg,83,72,87,108
9757.jpg,83,44,134,177
9758.jpg,77,75,84,109
9759.jpg,74,69,99,124
9760.jpg,88,64,91,118
9761.jpg,91,51,123,156
9762.jpg,64,61,95,121
9763.jpg,75,69,84,111
9764.jpg,66,67,99,120
9765.jpg,72,67,92,116
9766.jpg,72,63,89,121
9767.jpg,87,71,88,110
9768.jpg,70,64,96,123
9769.jpg,71,78,77,102
9770.jpg,88,73,85,110
9771.jpg,66,66,93,118
9772.jpg,77,67,85,113
9773.jpg,92,72,79,109
9774.jpg,80,75,85,108
9775.jpg,80,74,84,109
9776.jpg,74,70,94,114
9777.jpg,75,75,87,108
9778.jpg,69,73,89,112
9779.jpg,76,65,99,127
9780.jpg,69,69,92,115
9781.jpg,72,66,95,117
9782.jpg,69,68,98,123
9783.jpg,61,67,99,126
9784.jpg,81,68,93,116
9785.jpg,81,70,92,116
9786.jpg,82,73,88,111
9787.jpg,69,61,97,126
9788.jpg,75,69,92,118
9789.jpg,73,74,87,109
9790.jpg,84,66,93,117
9791.jpg,80,57,93,122
9792.jpg,72,73,75,104
9793.jpg,72,64,89,120
9794.jpg,92,73,84,110
9795.jpg,75,68,93,113
9796.jpg,84,72,90,111
9797.jpg,77,65,92,113
9798.jpg,83,76,84,107
9799.jpg,77,70,85,111
9800.jpg,90,74,91,107
9801.jpg,98,68,90,115
9802.jpg,73,67,87,109
9803.jpg,77,70,84,105
9804.jpg,80,68,85,109
9805.jpg,75,66,83,103
9806.jpg,69,64,95,125
9807.jpg,89,58,104,136
9808.jpg,88,65,98,118
9809.jpg,81,64,97,121
9810.jpg,65,57,99,129
9811.jpg,72,65,98,122
9812.jpg,90,75,87,115
9813.jpg,71,73,94,112
9814.jpg,85,75,78,103
9815.jpg,74,76,82,106
9816.jpg,84,70,84,110
9817.jpg,98,65,96,135
9818.jpg,88,69,87,113
9819.jpg,106,76,68,94
9820.jpg,65,64,106,133
9821.jpg,80,64,91,120
9822.jpg,92,72,90,115
9823.jpg,75,65,95,120
9824.jpg,85,62,97,130
9825.jpg,82,68,93,119
9826.jpg,80,72,88,114
9827.jpg,70,65,97,125
9828.jpg,74,70,91,115
9829.jpg,74,68,101,124
9830.jpg,79,61,100,134
9831.jpg,74,62,94,122
9832.jpg,66,54,107,137
9833.jpg,69,65,101,127
9834.jpg,80,69,89,115
9835.jpg,81,70,82,110
9836.jpg,82,68,89,114
9837.jpg,77,70,98,120
9838.jpg,71,71,89,119
9839.jpg,76,69,92,118
9840.jpg,82,70,94,117
9841.jpg,75,65,87,112
9842.jpg,81,68,96,121
9843.jpg,75,72,92,111
9844.jpg,85,72,96,115
9845.jpg,92,69,88,112
9846.jpg,70,64,87,113
9847.jpg,81,70,88,115
9848.jpg,91,69,85,111
9849.jpg,73,75,89,105
9850.jpg,74,62,95,122
9851.jpg,71,73,95,116
9852.jpg,84,72,93,114
9853.jpg,84,62,103,128
9854.jpg,71,64,101,122
9855.jpg,71,67,95,118
9856.jpg,84,62,91,121
9857.jpg,77,66,93,125
9858.jpg,84,68,83,112
9859.jpg,77,63,96,119
9860.jpg,75,77,87,106
9861.jpg,84,72,79,99
9862.jpg,75,66,100,121
9863.jpg,65,73,93,112
9864.jpg,77,64,89,111
9865.jpg,77,68,89,107
9866.jpg,64,71,95,116
9867.jpg,60,70,101,125
9868.jpg,64,69,94,116
9869.jpg,78,62,101,121
9870.jpg,82,67,97,120
9871.jpg,81,69,91,112
9872.jpg,89,63,94,127
9873.jpg,84,67,105,130
9874.jpg,67,74,89,113
9875.jpg,85,67,88,115
9876.jpg,74,65,96,121
9877.jpg,74,66,85,110
9878.jpg,84,80,86,110
9879.jpg,72,66,94,119
9880.jpg,87,66,91,122
9881.jpg,65,68,92,118
9882.jpg,94,71,86,114
9883.jpg,75,77,77,107
9884.jpg,79,71,90,114
9885.jpg,67,71,92,113
9886.jpg,71,69,93,119
9887.jpg,80,70,86,111
9888.jpg,77,68,87,112
9889.jpg,96,77,76,100
9890.jpg,84,72,87,109
9891.jpg,77,73,84,109
9892.jpg,82,71,85,109
9893.jpg,85,75,87,110
9894.jpg,77,72,84,110
