Image,X,Y,Width,Height
1.jpg,75,67,92,116
2.jpg,70,65,94,123
3.jpg,87,73,84,104
4.jpg,73,64,96,122
5.jpg,69,70,94,116
6.jpg,74,65,94,120
7.jpg,88,64,90,121
8.jpg,63,62,105,132
9.jpg,74,65,102,123
10.jpg,70,67,92,117
11.jpg,72,76,88,110
12.jpg,64,64,92,123
13.jpg,74,70,91,112
14.jpg,78,72,88,110
15.jpg,59,66,84,121
16.jpg,53,52,117,151
17.jpg,76,69,92,113
18.jpg,81,80,89,104
19.jpg,77,69,95,113
20.jpg,97,76,80,104
21.jpg,81,73,86,107
22.jpg,75,71,95,119
23.jpg,89,72,87,111
24.jpg,86,70,95,119
25.jpg,75,78,89,101
26.jpg,73,67,97,122
27.jpg,75,76,94,108
28.jpg,81,72,93,111
29.jpg,86,69,94,114
30.jpg,74,71,94,115
31.jpg,82,71,99,119
32.jpg,80,70,99,114
33.jpg,78,69,95,113
34.jpg,96,74,84,106
35.jpg,85,73,97,114
36.jpg,61,64,104,139
37.jpg,92,74,87,107
38.jpg,63,71,91,117
39.jpg,89,67,87,112
40.jpg,81,71,92,116
41.jpg,73,71,89,111
42.jpg,86,72,92,113
43.jpg,74,66,99,122
44.jpg,82,67,94,117
45.jpg,79,76,90,112
46.jpg,75,67,94,124
47.jpg,73,74,94,108
48.jpg,78,66,92,116
49.jpg,75,72,90,109
50.jpg,81,64,95,121
51.jpg,79,64,93,114
52.jpg,62,67,95,113
53.jpg,73,62,92,123
54.jpg,66,71,96,117
55.jpg,73,69,94,110
56.jpg,82,67,94,116
57.jpg,80,66,91,121
58.jpg,92,72,85,112
59.jpg,71,75,84,109
60.jpg,69,66,87,116
61.jpg,75,71,103,124
62.jpg,76,72,92,110
63.jpg,71,70,90,115
64.jpg,74,76,83,106
65.jpg,77,74,78,102
66.jpg,74,74,87,111
67.jpg,79,76,81,106
68.jpg,79,75,88,110
69.jpg,77,76,94,119
70.jpg,71,77,97,117
71.jpg,78,68,93,115
72.jpg,72,61,98,120
73.jpg,74,64,94,122
74.jpg,60,74,97,116
75.jpg,50,61,113,142
76.jpg,73,71,95,119
77.jpg,75,78,80,98
78.jpg,85,73,91,116
79.jpg,82,68,91,120
80.jpg,62,70,97,116
81.jpg,67,70,91,117
82.jpg,74,66,90,116
83.jpg,79,69,95,118
84.jpg,64,63,98,132
85.jpg,78,74,88,115
86.jpg,70,63,91,123
87.jpg,77,71,84,112
88.jpg,73,64,103,132
89.jpg,81,69,90,113
90.jpg,78,69,88,116
91.jpg,82,69,101,131
92.jpg,88,71,91,110
93.jpg,92,71,87,117
94.jpg,82,63,92,115
95.jpg,78,70,88,112
96.jpg,73,73,92,111
97.jpg,84,63,92,123
98.jpg,59,56,110,142
99.jpg,75,70,96,116
100.jpg,70,68,85,116
101.jpg,80,66,94,117
102.jpg,83,64,97,123
103.jpg,73,65,91,116
104.jpg,75,72,84,108
105.jpg,77,73,90,107
106.jpg,81,68,89,116
107.jpg,83,70,86,110
108.jpg,83,68,89,113
109.jpg,78,64,94,122
110.jpg,79,73,90,110
111.jpg,75,73,95,120
112.jpg,77,61,91,122
113.jpg,74,62,94,121
114.jpg,73,59,103,127
115.jpg,81,73,90,110
116.jpg,71,72,91,117
117.jpg,71,66,99,119
118.jpg,66,72,93,120
119.jpg,87,76,94,114
120.jpg,73,73,88,113
121.jpg,88,70,89,117
122.jpg,77,61,105,131
123.jpg,81,72,94,125
124.jpg,78,66,96,123
125.jpg,83,68,93,125
126.jpg,67,66,97,127
127.jpg,71,63,95,123
128.jpg,68,65,94,118
129.jpg,61,68,100,122
130.jpg,66,72,92,113
131.jpg,82,68,88,110
132.jpg,86,70,92,113
133.jpg,76,61,96,124
134.jpg,98,97,59,77
135.jpg,82,63,97,126
136.jpg,90,61,98,121
137.jpg,84,73,87,106
138.jpg,81,56,93,140
139.jpg,78,69,98,118
140.jpg,78,70,98,117
141.jpg,79,68,90,113
142.jpg,68,65,91,120
143.jpg,84,71,86,110
144.jpg,82,70,86,109
145.jpg,90,81,76,98
146.jpg,78,70,86,107
147.jpg,97,76,78,104
148.jpg,90,67,88,119
149.jpg,81,73,93,121
150.jpg,77,70,93,115
151.jpg,60,71,104,125
152.jpg,80,65,93,120
153.jpg,68,71,93,116
154.jpg,75,71,95,117
155.jpg,84,71,86,111
156.jpg,77,66,88,114
157.jpg,98,72,85,113
158.jpg,74,72,87,112
159.jpg,69,66,91,119
160.jpg,70,69,83,117
161.jpg,81,72,93,114
162.jpg,71,68,93,116
163.jpg,71,72,94,117
164.jpg,73,70,88,114
165.jpg,90,73,87,112
166.jpg,80,77,90,108
167.jpg,71,72,90,109
168.jpg,87,61,100,132
169.jpg,85,72,83,107
170.jpg,81,68,87,119
171.jpg,90,74,82,108
172.jpg,84,69,88,114
